,MEAN DEP SCORE,LA CODE,STD DEP SCORE,LAD,LAD CODE,WARD CODE,All categories: Age,Children,Adults,Pensioners,All categories: Residence type,Lives in a household,Lives in a communal establishment,Communal establishments with persons sleeping rough identified,All categories: Ethnic group (detailed),White: English/Welsh/Scottish/Northern Irish/British,White: Irish,White: Polish,Asian/Asian British: Indian or British Indian,Asian/Asian British: Pakistani/British Pakistani,Black/African/Caribbean/Black British: African,Black/African/Caribbean/Black British: Caribbean,Other ethnic group: Any other ethnic group,All categories: Religion,Christian,Buddhist,Hindu,Jewish,Muslim (Islam),Sikh,Other religion: Total,No religion: Total,Religion not stated,All usual residents ,Area ,Density
16,19.58012055214724,00AS,9.333704948415575,E09000017,00AS,00ASGG,273936,64120.0,176698.0,33118.0,273936,267227,6709,0,273936.0,142916.0,5949.0,3455.0,36795.0,9200.0,11275.0,4615.0,59731.0,273936.0,134813.0,2386.0,22033.0,1753.0,29065.0,18230.0,1669.0,46492.0,17495.0,273936,11570,23.7
17,21.918934273381286,00AT,8.368167992501176,E09000018,00AT,00ATFY,253957,57487.0,171302.0,25168.0,253957,251961,1996,2,253957.0,96264.0,4775.0,9433.0,48161.0,13676.0,10787.0,3381.0,67480.0,253957.0,106660.0,3617.0,26261.0,651.0,35666.0,22749.0,1540.0,40351.0,16462.0,253957,5599,45.4
18,35.852292711864386,00AU,9.645828511815026,E09000019,00AU,00AUFX,206125,36385.0,152812.0,16928.0,206125,200134,5991,0,206125.0,98322.0,8140.0,1594.0,3534.0,951.0,12622.0,7943.0,73019.0,206125.0,82879.0,2117.0,2108.0,1915.0,19521.0,569.0,967.0,61911.0,34138.0,206125,1486,138.7
19,23.388968349514563,00AW,12.66872824904083,E09000020,00AW,00AWFY,158649,26690.0,114175.0,17784.0,158649,155939,2710,1,158649.0,62271.0,3715.0,1098.0,2577.0,911.0,5536.0,3257.0,79284.0,158649.0,86005.0,2447.0,1386.0,3320.0,15812.0,263.0,778.0,32669.0,15969.0,158649,1213,130.8
20,11.520048876288662,00AX,5.967554135434453,E09000021,00AX,00AXFX,160060,33692.0,107280.0,19088.0,160060,156358,3702,0,160060.0,101015.0,2718.0,1943.0,6325.0,3009.0,2616.0,1027.0,41407.0,160060.0,84684.0,1771.0,7502.0,775.0,9474.0,1236.0,802.0,41183.0,12633.0,160060,3725,43
21,31.154085593220344,00AY,8.435242204534825,E09000022,00AY,00AYFZ,303086,60362.0,220913.0,21811.0,303086,300101,2985,2,303086.0,118250.0,7456.0,5839.0,4983.0,3072.0,35187.0,28886.0,99413.0,303086.0,160944.0,2963.0,3119.0,1134.0,21500.0,440.0,1682.0,84803.0,26501.0,303086,2682,113
22,31.115591807228906,00AZ,8.469518237224065,E09000023,00AZ,00AZGD,275885,63507.0,187810.0,24568.0,275885,273342,2543,1,275885.0,114446.0,5206.0,3308.0,4600.0,1596.0,32025.0,30854.0,83850.0,275885.0,145588.0,3664.0,6562.0,643.0,17759.0,531.0,1478.0,75155.0,24505.0,275885,3515,78.5
23,14.455508991935483,00BA,8.590041423487635,E09000024,00BA,00BAFX,199693,43271.0,134694.0,21728.0,199693,198217,1476,1,199693.0,96658.0,4417.0,6093.0,8106.0,7337.0,10442.0,8126.0,58514.0,199693.0,111993.0,1884.0,12203.0,791.0,16262.0,498.0,810.0,41231.0,14021.0,199693,3761,53.1
24,42.21003358490566,00BB,7.934038579881427,E09000025,00BB,00BBGB,307984,77828.0,210816.0,19340.0,307984,306009,1975,1,307984.0,51516.0,2172.0,4686.0,42484.0,30307.0,37811.0,15050.0,123958.0,307984.0,123119.0,2446.0,26962.0,342.0,98456.0,6421.0,1090.0,29373.0,19775.0,307984,3622,85
25,20.033257603773585,00BC,8.38487913790792,E09000026,00BC,00BCFY,278970,70385.0,177135.0,31450.0,278970,277323,1647,1,278970.0,96253.0,3900.0,2199.0,45660.0,31051.0,12357.0,9064.0,78486.0,278970.0,102755.0,1840.0,31699.0,10213.0,64999.0,17377.0,1348.0,30691.0,18048.0,278970,5641,49.5
